respondent_id,duration_seconds,batch,Q2_job_seeking,Q3_ai_experience,Q3_ai_exp_binary,Q8_manip_check,Q9_1_legitimacy,Q9_2_intention_apply,Q9_3_intention_withdraw,Q9_gap_apply_minus_legit,flag_straightline_rating,flag_always_same_side,flag_manip_fail,Age,Sex,Ethnicity simplified,Country of residence,Employment status,Student status
1,561,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,42,Male,White,United States,Full-Time,No
2,323,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,50,Female,Prefer not to say,United States,Part-Time,No
3,362,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,47,Male,Black,United States,Unemployed (and job seeking),No
4,376,last_pilot,Yes,Yes,1,Varied,4,4,1,0,0,0,0,40,Female,Black,United States,Unemployed (and job seeking),No
5,402,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,43,Female,Black,United States,Due to start a new job within the next month,No
6,208,last_pilot,Yes,Yes,1,Stayed the same,1,1,5,0,0,0,1,37,Female,Other,United States,Full-Time,Yes
7,173,last_pilot,Yes,Yes,1,Varied,4,4,4,0,0,0,0,59,Male,White,United States,Unemployed (and job seeking),No
8,155,last_pilot,Yes,Yes,1,Varied,1,1,5,0,0,0,0,32,Female,Mixed,United States,Part-Time,No
9,279,last_pilot,Yes,No,0,Varied,5,5,1,0,0,0,0,19,Female,Mixed,United States,Unemployed (and job seeking),No
10,177,last_pilot,Yes,No,0,Varied,2,3,2,1,0,0,0,48,Female,White,United States,Full-Time,No
11,715,last_pilot,Yes,Yes,1,Varied,2,3,1,1,0,0,0,27,Male,Mixed,United States,Unemployed (and job seeking),No
12,605,last_pilot,Yes,Yes,1,Stayed the same,3,4,2,1,0,0,1,22,Male,Black,United States,Unemployed (and job seeking),Yes
13,1061,last_pilot,Yes,Yes,1,Varied,3,2,4,-1,0,0,0,42,Female,Black,United States,Unemployed (and job seeking),No
14,477,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,19,Male,Black,United States,Unemployed (and job seeking),Yes
15,288,last_pilot,Yes,Yes,1,Varied,3,2,3,-1,0,0,0,24,Male,Asian,United States,Due to start a new job within the next month,No
16,915,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,60,Male,White,United States,Due to start a new job within the next month,No
17,157,last_pilot,Yes,Yes,1,Varied,1,1,5,0,0,0,0,32,Female,White,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",No
18,461,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,36,Male,White,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",No
19,309,last_pilot,Yes,Yes,1,Varied,1,1,4,0,0,0,0,27,Male,Mixed,United States,Full-Time,Yes
20,178,last_pilot,Yes,Not sure,0,Varied,3,3,2,0,0,0,0,28,Female,White,United States,Other,No
21,256,last_pilot,Yes,Yes,1,Varied,4,2,4,-2,0,0,0,61,Female,White,United States,Unemployed (and job seeking),No
22,461,last_pilot,Yes,No,0,Stayed the same,4,4,2,0,0,0,1,56,Female,Black,United States,Unemployed (and job seeking),No
23,391,last_pilot,Yes,Yes,1,Varied,5,5,1,0,0,0,0,30,Male,Other,United States,Full-Time,No
24,175,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,40,Male,Mixed,United States,Full-Time,Yes
25,815,last_pilot,Yes,Yes,1,Varied,3,2,4,-1,0,0,0,51,Male,Black,United States,Full-Time,No
26,383,last_pilot,Yes,Yes,1,Varied,3,3,4,0,0,0,0,37,Male,White,United States,Unemployed (and job seeking),No
27,325,last_pilot,Yes,Yes,1,Varied,1,4,1,3,0,0,0,46,Female,White,United States,Part-Time,No
28,363,last_pilot,Yes,No,0,Stayed the same,2,2,2,0,0,0,1,33,Male,White,United States,Unemployed (and job seeking),No
29,215,last_pilot,Yes,Not sure,0,Varied,3,3,2,0,0,0,0,36,Female,Other,United States,Unemployed (and job seeking),No
30,490,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,39,Female,White,United States,Unemployed (and job seeking),No
31,163,last_pilot,Yes,Not sure,0,Varied,2,2,3,0,0,0,0,43,Male,White,United States,Part-Time,No
32,289,last_pilot,Yes,Not sure,0,Varied,3,3,2,0,0,0,0,36,Male,White,United States,Unemployed (and job seeking),No
33,331,last_pilot,Yes,Yes,1,Varied,1,2,4,1,0,0,0,44,Female,Prefer not to say,United States,Full-Time,No
34,296,last_pilot,Yes,Yes,1,Varied,3,3,2,0,0,0,0,34,Male,White,United States,Unemployed (and job seeking),No
35,212,last_pilot,Yes,Yes,1,Varied,1,1,4,0,1,0,0,21,Female,Mixed,United States,Unemployed (and job seeking),Yes
36,227,last_pilot,Yes,Not sure,0,Varied,4,3,3,-1,0,0,0,21,Female,Mixed,United States,Unemployed (and job seeking),Yes
37,268,last_pilot,Yes,Yes,1,Varied,3,2,4,-1,0,0,0,19,Female,White,United States,Unemployed (and job seeking),Yes
38,371,last_pilot,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,26,Male,White,United States,Unemployed (and job seeking),No
39,930,last_pilot,Yes,Yes,1,Varied,3,3,5,0,0,0,0,43,Male,White,United States,Full-Time,No
40,353,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,50,Female,White,United States,Unemployed (and job seeking),No
41,434,last_pilot,Yes,No,0,Varied,4,4,2,0,0,0,0,30,Female,White,United States,Part-Time,No
42,250,last_pilot,Yes,Yes,1,Varied,1,2,2,1,0,0,0,32,Male,White,United States,Full-Time,No
43,382,last_pilot,Yes,No,0,Varied,3,4,2,1,0,0,0,21,Male,Black,United States,Full-Time,Yes
44,248,last_pilot,Yes,No,0,Varied,4,4,1,0,0,0,0,49,Male,White,United States,Other,No
45,192,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,51,Male,White,United States,Unemployed (and job seeking),No
46,245,last_pilot,Yes,Yes,1,Varied,4,3,1,-1,0,0,0,38,Male,Black,United States,Part-Time,No
47,281,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,52,Female,White,United States,Full-Time,No
48,141,last_pilot,Yes,Yes,1,Varied,2,2,1,0,0,0,0,21,Female,Asian,United States,Part-Time,Yes
49,240,last_pilot,Yes,Not sure,0,Varied,3,4,2,1,0,0,0,42,Female,White,United States,Full-Time,No
